gender,group,flight,player_id,player_name,school,seed,bracket_wins,bracket_losses,champion,runner_up,matches,wins,win_pct,wae,expected_wins,bracket_pct,elevation
boys,1A,D1,e7aae7f4b9eacb3f,Jayce Garcia,Linden,14.0,3,1,0,0,12.0,4.0,0.3333333333333333,-1.3319220013649111,5.331922001364911,0.75,0.4166666666666667
girls,2A,D1,214cb041c95a8017,Klaudia Sokołowski,Fogline,2.0,6,0,1,0,23.0,14.0,0.6086956521739131,-2.4464650919641793,16.44646509196418,1.0,0.3913043478260869
girls,6A,S1,96413b730599b830,Estefania Erazo,Starfield,10.0,4,1,0,0,24.0,11.0,0.4583333333333333,-3.7673121331181942,14.767312133118194,0.8,0.34166666666666673
girls,Group 3,S1,62de2d68da049be0,Leila Rock,Rilland,13.0,3,1,0,0,24.0,10.0,0.4166666666666667,-4.517861495008048,14.517861495008047,0.75,0.3333333333333333
girls,8A,D1,f50d73b66483d866,Annabelle Lutz,Marshfield Prep,1.0,6,0,1,0,19.0,13.0,0.6842105263157895,-2.8262392029095693,15.82623920290957,1.0,0.3157894736842105
boys,6A,D1,dbde06b84cf2f45f,Trevor Cooley,Emerson,3.0,6,0,1,0,10.0,7.0,0.7,-0.34887518572581533,7.348875185725816,1.0,0.30000000000000004
boys,6A,S2,6dbf4337ab6ceff8,Asher Rhee,Pelican Town,3.0,4,1,0,0,19.0,10.0,0.5263157894736842,-3.549657698445132,13.549657698445133,0.8,0.27368421052631586
boys,Group 2,S3,7ed3f02c5736b2be,Jase Wang,Spring Harvest,12.0,4,1,0,0,17.0,9.0,0.5294117647058824,-2.309655990967059,11.309655990967059,0.8,0.2705882352941177
girls,1A,D1,fb0ebca4925a876f,Jessica Morose,Trout Lake,9.0,4,1,0,0,30.0,16.0,0.5333333333333333,-2.1091434314612387,18.109143431461238,0.8,0.2666666666666667
boys,6A,S3,4d987a95895990e4,Dashawn Cunningham,Chaminade,2.0,6,0,1,0,23.0,17.0,0.7391304347826086,-3.1860287824869826,20.186028782486982,1.0,0.26086956521739135
girls,Group 3,D1,d72e89bd96b4de60,Nevaeh Koch,Galactica Plains,3.0,6,0,1,0,28.0,21.0,0.75,-3.426524364974357,24.426524364974355,1.0,0.25
boys,Group 2,S3,2c4112e1c2f4cb49,Tristan Bonds,Brown,7.0,3,1,0,0,14.0,7.0,0.5,-2.8284190844727086,9.828419084472708,0.75,0.25
girls,1A,S3,13d61a9c1c663a2f,Jaidah Ituka,Tailingford Union,,3,1,0,0,22.0,11.0,0.5,-0.125801987306855,11.125801987306854,0.75,0.25
girls,4A,S1,c8a2a3c20142356b,Madeleine Kim,Fellows Mill,15.0,3,1,0,0,22.0,11.0,0.5,0.5581601876130226,10.441839812386977,0.75,0.25
boys,6A,D1,5a0074fd4b225050,Marcus Todd-Williams,Emerson,3.0,6,0,1,0,25.0,19.0,0.76,2.0516704843366993,16.9483295156633,1.0,0.24
boys,6A,S2,ee3d0207c74c1faf,Greyson Cardwell,C. Coolidge,9.0,4,1,0,0,25.0,14.0,0.56,-2.3755169146635557,16.375516914663557,0.8,0.24
boys,2A,S1,cd966f69284f7ec3,James Le,Porterfield,3.0,6,0,1,0,26.0,20.0,0.7692307692307693,-0.22593106332912172,20.22593106332912,1.0,0.23076923076923073
boys,5A,S1,c7a6cff646624664,Prince Spain,Sandhill Marsh,22.0,3,1,0,0,23.0,12.0,0.5217391304347826,-2.07450268938309,14.07450268938309,0.75,0.2282608695652174
boys,8A,S2,a1447987156ab93a,Alexis Hunt,Natchitoches,4.0,6,0,1,0,31.0,24.0,0.7741935483870968,-1.2830151854125282,25.283015185412527,1.0,0.22580645161290325
girls,1A,S3,fbbf58707c2b9fb0,Tavia Gordon,Manzanita Junction,15.0,4,1,0,0,33.0,19.0,0.5757575757575758,1.4113676037990972,17.588632396200904,0.8,0.22424242424242424
boys,4A,S2,db2590eb67264e14,Xavier Tian,Averill,4.0,3,1,0,0,30.0,16.0,0.5333333333333333,-2.648145598977448,18.648145598977447,0.75,0.21666666666666667
girls,2A,D1,21614704b10a6685,Willow Adams,Fogline,2.0,6,0,1,0,19.0,15.0,0.7894736842105263,2.3130610292366036,12.686938970763396,1.0,0.21052631578947367
girls,4A,S2,fbded2c5c961263d,Meshkatolzahra Sadeghi,Gagarin,2.0,6,0,1,0,24.0,19.0,0.7916666666666666,-3.023744526901724,22.023744526901723,1.0,0.20833333333333337
girls,6A,D1,001729915afe4ddd,Chloe Nelson,Severn,6.0,3,1,0,0,24.0,13.0,0.5416666666666666,-1.0643080273532055,14.064308027353206,0.75,0.20833333333333337
boys,8A,S2,1827a882fb6d3e74,Nolan Gallegos,Bell,15.0,3,1,0,0,33.0,18.0,0.5454545454545454,-2.1926150608785107,20.19261506087851,0.75,0.20454545454545459
girls,1A,D1,65d306743cd72e15,Kennedy Busch,Manzanita Junction,10.0,3,1,0,0,11.0,6.0,0.5454545454545454,-0.23958761068037515,6.239587610680375,0.75,0.20454545454545459
boys,Group 1,S2,734f1e1e08d4f8ff,Tyler Merritt,Pope Leo XIV,9.0,4,1,0,0,25.0,15.0,0.6,-0.47823183626699306,15.478231836266993,0.8,0.20000000000000007
girls,Group 1,D2,665ce1ef5c7a9713,Nina Sandoval,Boyle Heights,7.0,4,1,0,0,10.0,6.0,0.6,1.222983283817768,4.7770167161822314,0.8,0.20000000000000007
boys,Group 1,S3,5efbd5fe606d83a8,Brady Marquis,Tallulah Central,11.0,3,1,0,0,29.0,16.0,0.5517241379310345,-4.572797697427329,20.57279769742733,0.75,0.19827586206896552
boys,8A,S3,7afd163c6b811b66,Elijah Major,Tidegate,1.0,6,0,1,0,36.0,29.0,0.8055555555555556,-0.586134708076443,29.586134708076443,1.0,0.19444444444444442
boys,4A,S1,654e8e3e7c0b72a4,Noah Suarez,Indigo Bend,23.0,3,1,0,0,27.0,15.0,0.5555555555555556,0.11543377916783626,14.884566220832165,0.75,0.19444444444444442
girls,1A,S2,f31e5aeb223f652e,Mia Miller,Trout Lake,14.0,3,1,0,0,25.0,14.0,0.56,1.9574589150325639,12.042541084967436,0.75,0.18999999999999995
boys,8A,D2,495db34946e65492,Peter Allen,Ukiah,14.0,3,1,0,0,16.0,9.0,0.5625,0.29869663587105144,8.701303364128949,0.75,0.1875
girls,9A,S3,14f19dc4f9cdb8d0,Boo Murakami,De La Salle,5.0,6,0,1,0,27.0,22.0,0.8148148148148148,-1.5749711311312353,23.574971131131235,1.0,0.18518518518518523
girls,9A,D1,276f957886ec5e4b,Emma Green,Rockridge,2.0,6,0,1,0,11.0,9.0,0.8181818181818182,-0.7411394906191947,9.741139490619195,1.0,0.18181818181818177
boys,7A,D2,da230e5849358263,Denzel McCall,Baptist,1.0,5,0,1,0,11.0,9.0,0.8181818181818182,-0.2503131078038683,9.25031310780387,1.0,0.18181818181818177
boys,1A,S1,1a41c0d7daf6bc0d,Salvador Yépez,Portola-Caverly,5.0,4,1,0,0,21.0,13.0,0.6190476190476191,-3.3921046350751136,16.392104635075114,0.8,0.18095238095238098
boys,Group 2,S2,ce8a5e3f35e1e340,Miles Craven,Dawkins,1.0,6,0,1,0,23.0,19.0,0.8260869565217391,1.5205644947874868,17.479435505212514,1.0,0.17391304347826086
boys,6A,S2,70f5c3001ea0e8be,Ray Henry,Bolinas,16.0,3,1,0,0,26.0,15.0,0.5769230769230769,-2.326906227879667,17.326906227879668,0.75,0.17307692307692313
boys,Group 2,S1,9c77a8f24d633d57,William Leon,Spring Harvest,8.0,3,1,0,0,26.0,15.0,0.5769230769230769,-3.1479044801442413,18.14790448014424,0.75,0.17307692307692313
girls,5A,S1,c19a1ca5f6381128,Maya Anwar,Cheney,25.0,3,1,0,0,19.0,11.0,0.5789473684210527,-2.0501196566832984,13.050119656683298,0.75,0.17105263157894735
boys,1A,S1,ffdd92e57f013ae1,Carson Otero,Coastal Christian,8.0,4,1,0,0,19.0,12.0,0.631578947368421,-2.0644542233028034,14.064454223302803,0.8,0.16842105263157903
boys,8A,S1,1e10aefbba28f091,Kyle Taylor,Plainfield,2.0,6,0,1,0,24.0,20.0,0.8333333333333334,-0.03237786651604402,20.032377866516043,1.0,0.16666666666666663
boys,Group 3,S1,638ebecf1d4d5b55,Jordan Walsh,Saltbush,5.0,6,0,1,0,30.0,25.0,0.8333333333333334,0.7203223267654593,24.27967767323454,1.0,0.16666666666666663
girls,2A,S1,0898e8ad9ccb05a6,Sophia Steen,Sutter Basin,3.0,6,0,1,0,24.0,20.0,0.8333333333333334,-0.38087690927120266,20.3808769092712,1.0,0.16666666666666663
girls,5A,S1,2fd3cc4cef5d9b45,Grace Sullivan,Star City,1.0,6,0,1,0,24.0,20.0,0.8333333333333334,-0.5109700817935428,20.51097008179354,1.0,0.16666666666666663
boys,4A,S1,226525f30467f1d0,Ethan Vandergriff,Tallulah Canyon,8.0,3,1,0,0,24.0,14.0,0.5833333333333334,-2.452672089721502,16.452672089721503,0.75,0.16666666666666663
boys,7A,S1,823870da9a7c3447,Terrell Gauthier,Lone Pine,9.0,3,1,0,0,24.0,14.0,0.5833333333333334,-2.3834977259594576,16.383497725959458,0.75,0.16666666666666663
boys,7A,S1,9d132e295c8f14fa,Jagger Cummings,Sacred Heart,15.0,3,1,0,0,24.0,14.0,0.5833333333333334,-1.6000023663178766,15.600002366317877,0.75,0.16666666666666663
boys,Group 2,D1,aa77ab799c08da41,Gabriel Schwenk,Chicago Island,5.0,3,1,0,0,12.0,7.0,0.5833333333333334,-0.9686413184127842,7.968641318412784,0.75,0.16666666666666663
girls,8A,D2,adcdb61f25b5dbb1,Chia-ling Hsiao,Lower Lake,2.0,3,1,0,0,12.0,7.0,0.5833333333333334,-1.2839389951097013,8.2839389951097,0.75,0.16666666666666663
girls,2A,S3,f18559125e2b9eb6,Aubree Montemayor,Villard,9.0,3,1,0,0,29.0,17.0,0.5862068965517241,0.46494289290288615,16.535057107097114,0.75,0.1637931034482759
boys,4A,D1,cf62005a1737f769,Brice Josephs,Borondón Mesa,8.0,3,1,0,0,17.0,10.0,0.5882352941176471,-1.0586176484630052,11.058617648463006,0.75,0.16176470588235292
girls,1A,D2,57a83c0d53b6df5a,Eden Lee,Silton Ridge,5.0,3,1,0,0,17.0,10.0,0.5882352941176471,-1.2523984692073964,11.252398469207396,0.75,0.16176470588235292
boys,Group 1,S1,3c8a8c27da58baef,Nathaniel Lauer,Grant,4.0,6,0,1,0,31.0,26.0,0.8387096774193549,-0.14973353598234207,26.149733535982342,1.0,0.16129032258064513
boys,Group 1,S3,2b7593b68d9fea9c,Benjamin McClure,River Plain,4.0,6,0,1,0,25.0,21.0,0.84,-1.1455184621461982,22.1455184621462,1.0,0.16000000000000003
girls,1A,D1,90fcca7b8a5eb45a,River McClain,Banfield Day,1.0,6,0,1,0,25.0,21.0,0.84,-1.7532650085585724,22.75326500855857,1.0,0.16000000000000003
