gender,lower_name,lower_program,lower_class,lower_rating,higher_name,higher_program,higher_class,higher_rating,gap,meetings,lower_wins,lower_losses,max_win_streak,scores
girls,Samantha McPherson,Burdensome,Group 2,67.0,Lauryn Tosch,Hampton,Group 2,76.0,9.0,3,3,0,3,"0-6, 6-2, 1-6 | 7-6, 6-7, 6-3 | 5-7, 7-5, 1-6"
boys,Johan Zanutto,Pendleton,5A,81.0,Declan Brewster,Providence Academy,5A,86.0,5.0,3,3,0,3,"7-5, 6-3 | 3-6, 1-6 | 3-6, 5-7"
girls,Thérèse Paquette,Coleman,8A,77.0,Chloe Hilliker,Dogpatch,8A,82.0,5.0,3,3,0,3,"3-6, 2-6 | 6-1, 6-1 | 3-6, 6-4, 2-6"
boys,Jamie Lefevre,Madrigal,8A,66.0,Gabriel Hutchinson,Okefenokee,8A,71.0,5.0,3,3,0,3,"6-4, 4-6, 7-6 | 3-6, 4-6 | 6-4, 6-7, 4-6"
girls,Collins Terrell,Latgaway,Group 3,67.0,Cassidy Pace-Wilson,Riverview,Group 3,89.0,22.0,2,2,0,2,"2-6, 6-4, 6-7 | 6-4, 1-6, 6-4"
girls,Zahra Ait Ali,Singleton,Group 3,54.0,Brooke Elie,Raft County Catholic,Group 3,75.0,21.0,2,2,0,2,"7-5, 7-6 | 6-1, 5-7, 4-6"
girls,Alexa Olden,Salmon Bay,1A,51.0,Bristol Jurado,Redwood Glen,1A,70.0,19.0,2,2,0,2,"6-4, 0-6, 6-4 | 2-6, 6-2, 6-7"
girls,Payton Guerrero,Anse Doree,8A,64.0,Kaela Wood,East Moscow,8A,82.0,18.0,2,2,0,2,"4-6, 6-3, 2-6 | 3-6, 6-1, 6-3"
boys,Tucker Gatti,Romare Bearden,Group 1,57.0,Timothy Grantham,Boyle Heights,Group 1,75.0,18.0,2,2,0,2,"6-4, 7-6 | 6-7, 6-7"
girls,Savannah Sansom,Berrio,3A,58.0,Hannah Sandlin,Tallgrass,3A,76.0,18.0,2,2,0,2,"6-3, 4-6, 6-4 | 6-2, 4-6, 4-6"
boys,Kaden Durham,Ironwood Flats,8A,42.0,Alvin Taveras,Caswell,8A,59.0,17.0,3,2,1,2,"3-6, 6-2, 7-6 | 1-6, 6-4, 6-3 | 3-6, 6-1, 3-6"
boys,Drayk Chinh,Lodestone County,Group 2,78.0,Hayden Chen,Minidoka,Group 2,95.0,17.0,2,2,0,2,"6-4, 2-6, 6-1 | 4-6, 6-2, 4-6"
girls,Elise Jackson,Alameda,7A,60.0,Autumn Colley,Robledo,7A,76.0,16.0,3,2,1,2,"6-2, 6-1 | 6-1, 2-6, 6-3 | 6-1, 6-7, 5-7"
girls,Eva Persons,Verrettes,6A,56.0,Reyna Debrody,Manzanita,6A,72.0,16.0,2,2,0,2,"6-2, 5-7, 7-5 | 6-3, 4-6, 5-7"
boys,Kobe Chavira,Evenfall,6A,64.0,Oscar Hernandez,Marigny,6A,79.0,15.0,2,2,0,2,"3-6, 6-3, 6-4 | 4-6, 6-4, 6-7"
girls,Thida Than,Money,Group 2,50.0,Zenda Renwick,Laketown Regional,Group 2,65.0,15.0,2,2,0,2,"6-1, 1-6, 4-6 | 4-6, 7-6, 6-4"
boys,Abdelali Mahrez,Seamus Town,2A,78.0,Benjamin De Leon,Cherry Hill North,2A,93.0,15.0,2,2,0,2,"1-6, 3-6 | 6-2, 6-3"
boys,Soane Borowiak,Dry Fork,8A,64.0,Edward Pedro,Breakwater,8A,79.0,15.0,2,2,0,2,"6-4, 6-7, 2-6 | 7-6, 6-3"
boys,Adrian Taylor,Santa Laura,9A,67.0,Benjamin Kendrick,Morgan Park,9A,81.0,14.0,2,2,0,2,"6-1, 4-6, 6-7 | 6-2, 6-4"
girls,Kennedy Davis,Featherton,2A,66.0,Hazel Geib,Governor Woods,2A,80.0,14.0,2,2,0,2,"7-6, 4-6, 1-6 | 6-4, 6-2"
boys,Robert Wright,Tungsten,Group 3,48.0,Marquise Leslie,Fort Lassiter,Group 3,62.0,14.0,2,2,0,2,"7-6, 7-6 | 4-6, 6-2, 6-7"
boys,Donovan Seixas,Cherry Hill East,7A,84.0,Henry Gomez,Condotti Vanguard Academy,7A,97.0,13.0,3,2,1,2,"6-2, 6-4 | 4-6, 6-2, 5-7 | 3-6, 4-6"
boys,Alex O'Neil,Helena Academy,4A,70.0,Davon Millard,Eastmont,4A,83.0,13.0,3,2,1,2,"6-4, 4-6, 6-4 | 6-7, 6-2, 3-6 | 6-3, 7-5"
girls,Sophia Dahl,Mar Vista,9A,62.0,Avery Flournoy,Tamarack,9A,75.0,13.0,2,2,0,2,"6-4, 0-6, 6-4 | 5-7, 3-6"
boys,Jordan Chamberlain,Benton Park,9A,50.0,Jordan Tasker,Van Buren,9A,63.0,13.0,2,2,0,2,"1-6, 6-7 | 6-4, 6-2"
girls,Genesis Davis,Terrace Park,Group 1,86.0,Carmen Soller,St. Teresa,Group 1,99.0,13.0,2,2,0,2,"6-4, 3-6, 7-6 | 6-4, 6-4"
girls,Charity Brock,Sojourner Truth,4A,37.0,Beatrice Konig,Wyalusing,4A,50.0,13.0,2,2,0,2,"5-7, 7-5, 6-4 | 3-6, 4-6"
boys,Ruairi Magill,Robeson,Group 1,58.0,Brady Marquis,Tallulah Central,Group 1,71.0,13.0,2,2,0,2,"6-7, 2-6 | 3-6, 6-1, 6-0"
boys,Caleb Augustin,Green River,Group 1,71.0,Davion Hecklinski,Vermillion,Group 1,84.0,13.0,2,2,0,2,"3-6, 6-7 | 6-4, 1-6, 6-7"
girls,Ariel Larsen,Irrigon,1A,56.0,Ceci Noonan,Weston-McEwen,1A,68.0,12.0,2,2,0,2,"1-6, 6-1, 6-0 | 3-6, 6-3, 6-7"
boys,Stanley Dizon,Coleman,8A,67.0,Edward Pedro,Breakwater,8A,79.0,12.0,2,2,0,2,"7-5, 6-3 | 2-6, 6-2, 5-7"
boys,Erik Camara,Atlanta,Group 1,52.0,Teriq Nanda,Jemison,Group 1,64.0,12.0,2,2,0,2,"5-7, 6-1, 6-3 | 3-6, 6-1, 1-6"
girls,Erika Laskutova,Crown Paper,Group 2,49.0,Jayda Hernandez,Harriman East,Group 2,61.0,12.0,2,2,0,2,"7-6, 6-7, 3-6 | 6-4, 6-4"
boys,Griffin Serrano,Glen Park,6A,49.0,Dylan Mannix,Emerson,6A,61.0,12.0,2,2,0,2,"3-6, 6-2, 4-6 | 7-5, 4-6, 6-3"
