gender,player_id,name,program_id,program_name,group,grade,rating,matches,wins,expected_wins,wae,win_pct,s1_matches,s1_wins,s1_expected,s1_wae,punch_matches,punch_wins,punch_wae,max_upset_gap,ind_champ,ind_finalist,team_titles
girls,e16b307a6e1f4088,Jayleen Jimmerson,Bidwell City|girls,Alfalfa City,1A,12,73.0,28,20,14.31825250004889,5.6817474999511095,0.7142857142857143,28.0,20.0,14.31825250004889,5.6817474999511095,3.0,0.0,-0.2965020012980134,-23.0,False,False,0
girls,1da4273ee3f92215,Xochitl Vilda,Graymont|girls,Georgia Mills,Group 3,12,73.0,24,17,11.703301341032232,5.2966986589677685,0.7083333333333334,24.0,17.0,11.703301341032232,5.2966986589677685,5.0,1.0,0.7017424162628821,-26.0,False,False,0
boys,5679b5f80fec1ca3,Frankie Coronado,Vale High|boys,Vale,2A,12,68.0,21,18,12.729767730035432,5.270232269964567,0.8571428571428571,21.0,18.0,12.729767730035432,5.270232269964568,1.0,0.0,-0.022320437912165605,-31.0,False,True,0
girls,28260ddbaeea39ee,Shaghayegh Ansari,Winifred Davenport|girls,Lost River,7A,12,60.0,18,14,9.277861269371419,4.722138730628582,0.7777777777777778,18.0,14.0,9.277861269371419,4.722138730628581,4.0,1.0,0.6284484055205447,-38.0,False,False,0
girls,218eb8d97bba4ae6,Maura Clardy,Odellville|girls,Odellville,1A,12,65.0,19,17,12.607734601700864,4.392265398299136,0.8947368421052632,19.0,17.0,12.607734601700864,4.392265398299136,1.0,0.0,-0.08503199234402718,-20.0,False,False,0
boys,8fd9b76d64794e1f,Elijah Bernard,Esteban Téllez|boys,Sawtelle,Group 1,12,78.0,31,22,17.643329491492242,4.356670508507759,0.7096774193548387,31.0,22.0,17.643329491492242,4.356670508507758,5.0,1.0,0.35237492011570737,-18.0,False,False,0
girls,d19d4dcc89ddebb8,Madilyn Bangura,Mikel Garmendia|girls,Homeland,Group 2,12,84.0,26,23,18.683103680974178,4.316896319025823,0.8846153846153846,26.0,23.0,18.683103680974178,4.3168963190258225,1.0,1.0,0.9079294138872177,-15.0,False,False,0
boys,4aaeb5aa778f5f8f,Elijah Schneider,Caldera High|boys,Caldera,8A,12,71.0,20,14,9.836268470242832,4.163731529757168,0.7,20.0,14.0,9.836268470242832,4.163731529757168,3.0,2.0,1.4637858828544548,-11.0,False,False,0
boys,c14399c2fd4f5641,Finn Brockway,Santa Michaela Harbor Gate|boys,Tidegate,8A,12,91.0,25,23,18.98634334188546,4.013656658114543,0.92,25.0,23.0,18.98634334188546,4.013656658114542,0.0,0.0,0.0,,False,False,0
girls,e15ae68b1e1993a2,Eleanor Kinnaman,Marsh Depot|girls,Jersey City,9A,12,73.0,29,23,19.958391219171634,3.0416087808283674,0.7931034482758621,29.0,23.0,19.958391219171634,3.0416087808283656,5.0,1.0,0.437638998016881,-24.0,False,False,0
boys,fcbdb1480079390a,Gerald Michel,Welsh Plains Northwest|boys,Grayston,3A,12,79.0,20,17,14.181501200936648,2.818498799063352,0.85,20.0,17.0,14.181501200936648,2.8184987990633523,3.0,1.0,0.6978138307549636,-20.0,False,False,0
boys,146c5be27eb8844d,Grayson Johnson,Crane|boys,Crane,3A,12,68.0,26,19,16.243868470321356,2.756131529678643,0.7307692307692307,26.0,19.0,16.243868470321356,2.756131529678644,5.0,1.0,0.3862657230960046,-18.0,False,False,0
boys,29c971e3acd1d020,Connor Arnot,Canaan Bend|boys,Canaan Bend,2A,12,67.0,24,17,14.407811650407037,2.592188349592962,0.7083333333333334,24.0,17.0,14.407811650407037,2.5921883495929627,2.0,0.0,-0.22929872324608214,-16.0,False,False,0
boys,40a18523e90dbd7f,Abdelali Mahrez,Gold Junction|boys,Seamus Town,2A,12,78.0,18,15,12.417454844090331,2.582545155909669,0.8333333333333334,17.0,14.0,11.429676621537329,2.570323378462671,4.0,3.0,2.553433733503069,-21.0,False,False,0
boys,ba70e180744e5719,Tate Taylor,Naylors Landing|boys,Naylors Landing,Group 3,12,87.0,24,19,16.44163730228369,2.5583626977163085,0.7916666666666666,24.0,19.0,16.44163730228369,2.5583626977163085,2.0,1.0,0.6110607947553797,-11.0,False,False,0
girls,66ff64d8798b925d,Olivia Dias,Rita Moreno|girls,Moreno,6A,12,77.0,24,20,17.584361619587952,2.41563838041205,0.8333333333333334,24.0,20.0,17.584361619587952,2.415638380412048,1.0,0.0,-0.06365995117471523,-18.0,False,False,0
girls,1fd71de5f76a0b86,Riley Battle,Weller Regional|girls,Yandell,Group 3,12,77.0,28,20,17.634571831016558,2.365428168983442,0.7142857142857143,28.0,20.0,17.634571831016558,2.365428168983442,5.0,2.0,1.575971361763623,-22.0,False,False,0
girls,3fcfc2fb7028d415,Iangaly Randrianasolo,Ransoms Landing|girls,Ransoms Landing,1A,12,80.0,24,19,16.689888361300138,2.310111638699862,0.7916666666666666,24.0,19.0,16.689888361300138,2.310111638699862,0.0,0.0,0.0,,False,False,0
girls,ea95e1fef1e6da64,Emma Van Buren,John Lewis|girls,Lewis,2A,12,81.0,20,16,13.720101687465085,2.2798983125349146,0.8,20.0,16.0,13.720101687465085,2.2798983125349146,4.0,2.0,1.3551322533762873,-17.0,False,False,0
girls,9f2d5e31d9097559,Alyssa Andrade,Nikolai Markov North|girls,Marigny,6A,12,87.0,21,20,17.728057289976235,2.2719427100237657,0.9523809523809523,21.0,20.0,17.728057289976235,2.2719427100237652,0.0,0.0,0.0,,False,False,0
girls,19b10ccc006ea5d2,Imani Bartkowicz,Sage Lake|girls,Sage Village,Group 3,12,72.0,25,18,15.751200591183446,2.248799408816553,0.72,25.0,18.0,15.751200591183446,2.248799408816554,5.0,0.0,-0.43123989271216256,-22.0,False,False,0
girls,41f7c13e3b0a1bb2,Samantha Johnson,Dawkins|girls,Dawkins,Group 2,12,92.0,22,19,16.7773814130411,2.222618586958901,0.8636363636363636,22.0,19.0,16.7773814130411,2.2226185869589017,0.0,0.0,0.0,,False,True,0
boys,62f04ce06ffbced5,Benjamin Lair,Petersburg High|boys,Brown,Group 2,12,89.0,24,20,17.91176174495619,2.0882382550438097,0.8333333333333334,24.0,20.0,17.91176174495619,2.0882382550438088,0.0,0.0,0.0,,False,False,0
boys,bbed3d5d9a9037a7,Moreto Duarte,Stagewater County High|boys,Wong,Group 2,12,83.0,24,18,16.001924020533945,1.9980759794660556,0.75,24.0,18.0,16.001924020533945,1.998075979466055,2.0,1.0,0.7370412521330059,-12.0,False,False,0
girls,aa21f6ac94ec03ab,Maggie Mcpherson,San Dámaso|girls,San Dámaso,6A,12,92.0,23,22,20.151466274142432,1.8485337258575667,0.9565217391304348,23.0,22.0,20.151466274142432,1.8485337258575676,0.0,0.0,0.0,,False,False,0
