gender,date,dual_id,phase,slot,program_id,opp_program_id,player_id,opp_id,rating,opp_rating,win,p,score,wae,gap,name,opp_name,grade,opp_grade,style,opp_style,program_name,group,opp_program_name,opp_group,pair_key
girls,2086-03-15,jhdual:ff6f8add3cbc1654,regular,S2,Timber Crest|girls,San Lorenzo|girls,eaa54f242b826751,0f14aac927d1548d,51.0,87.0,1,0.010898283355883035,"6-4, 7-5",0.989101716644117,-36.0,Taryne Wolters,Angel White,12,12,counterpuncher,aggressive_baseliner,Timber Crest,3A,San Lorenzo,3A,0f14aac927d1548d|eaa54f242b826751
girls,2086-04-19,jhdual:97ba929ed4c8656a,regular,S3,Carmina|girls,Ashbury Central North|girls,4be2f74f1b6e6888,05ec06ee0a113157,42.0,77.0,1,0.012432617827000747,"6-4, 4-6, 6-4",0.9875673821729992,-35.0,Alexandra Paulson,Sophia Moore,10,12,pusher,all_court,Carmina,Group 2,Kishwaukee,Group 2,05ec06ee0a113157|4be2f74f1b6e6888
boys,2086-08-21,jhdual:097ae9dc73bd7a29,regular,S1,Mission Bay|boys,Alejandro Zamora|boys,4f6735cabb3a3f9d,54a5c8ba236e068d,61.0,95.0,1,0.015140964011534246,"6-4, 2-6, 7-6",0.9848590359884658,-34.0,Robert Stewart,Everett Moore,11,12,pusher,serve_first,Mission Bay,9A,Morgan Park,9A,4f6735cabb3a3f9d|54a5c8ba236e068d
boys,2086-08-16,jhdual:6e96f34a7081a834,regular,S3,Naomi Price|boys,Mikel Garmendia|boys,0e01f752b8da4199,409a8a40d98ac6d1,35.0,67.0,1,0.019618200737155124,"6-4, 7-6",0.9803817992628449,-32.0,Jessie Degraff,Liam Broadbent,12,9,balanced,junkballer,Crown Paper,Group 2,Homeland,Group 2,0e01f752b8da4199|409a8a40d98ac6d1
girls,2086-03-06,jhdual:f99573df38a7fedb,early,S3,Timberline|girls,Chicago Island|girls,7952d858fbd95d76,a3074dbbde5a5e00,36.0,67.0,1,0.02100350667629364,"6-4, 7-5",0.9789964933237063,-31.0,Avery Perkins,Quinn Rao,12,11,balanced,aggressive_baseliner,Timberline,Group 2,Chicago Island,Group 2,7952d858fbd95d76|a3074dbbde5a5e00
boys,2086-09-14,jhdual:d4c015e7bccdd283,showcase_pod,S1,Huntington High|boys,Quarmont|boys,7a71081a8758b117,31d075efb121222e,61.0,92.0,1,0.012221777446998261,5-8,0.9877782225530017,-31.0,Dejuan Jin,Aidan Peters,9,11,counterpuncher,balanced,Huntington,2A,Quarmont,3A,31d075efb121222e|7a71081a8758b117
girls,2086-03-21,jhdual:c6faa72b1970fcf8,regular,S2,Silver Lake|girls,Rimrock|girls,72f772e7a089a69b,5757dd54a50beffa,47.0,78.0,1,0.02100350667629364,"6-4, 2-6, 7-6",0.9789964933237063,-31.0,Rosa Shukla,Ava Bergmann,12,11,balanced,counterpuncher,Silver Lake,Group 3,Rimrock,Group 3,5757dd54a50beffa|72f772e7a089a69b
boys,2086-09-13,jhdual:943a4e70e6572eaa,regular,S1,Clara Cross|boys,Valderra Technical Arts Academy|boys,40517c4d1750c88a,c37fea1ae32fbb80,47.0,77.0,1,0.025385247133991116,"1-6, 7-6, 6-4",0.9746147528660088,-30.0,Simon Wilson,Kevin Bohannon,11,11,balanced,balanced,Red Mesa,8A,D. Eisenhower,8A,40517c4d1750c88a|c37fea1ae32fbb80
girls,2086-03-22,jhdual:b3aa8fc1878a13d1,regular,S1,Amaia Echevarria|girls,Zubieta River Plain|girls,c803e8930939aea6,d4b8256916693071,66.0,96.0,1,0.02392610892825608,"6-3, 7-5",0.9760738910717439,-30.0,Jazmin Griffin,Nadia Rojas,12,12,aggressive_baseliner,balanced,Redwood,Group 1,River Plain,Group 1,c803e8930939aea6|d4b8256916693071
girls,2086-04-18,jhdual:560c66ed32d4e57d,regular,S2,Elk Bluff|girls,Saltbush Reach|girls,5b6417f2e9ff9890,edd895da93d3afb9,54.0,83.0,1,0.02724406912960226,"2-6, 7-5, 7-5",0.9727559308703977,-29.0,Fadwa Karoui,Olivia Hollingsworth,12,12,balanced,balanced,Elk Bluff,Group 3,Saltbush,Group 3,5b6417f2e9ff9890|edd895da93d3afb9
